Evidence ID,Role family,Comparator title,Location,Market class,Evidence type,Seniority,Compensation type,Period,Low RWF,Midpoint RWF,High RWF,Normalized low RWF/month,Normalized midpoint RWF/month,Normalized high RWF/month,Evidence quality,Source date,Sample / scope,Source URL,Notes,Conversion basis,Money source classification,Money source status,Money source URL,Evidence grade,Evidence grade basis,Source warning
E39,Data quality / QA,Data Quality Lead,India,Global role-family comparator,Employee-reported salary database,Lead,Base salary range,year,7672589,14386105,21099620,639382,1198842,1758302,Medium,2026-04,Two salaries shown; Glassdoor typical range,https://www.glassdoor.co.in/Salaries/data-quality-lead-salary-SRCH_KO0%2C17.htm,Very small sample and older submissions; retained as an explicitly low-confidence role-family observation.,INR -> RWF @ 15.3452 (USD/RWF 1463.93 divided by INR/USD 95.4; RBZ 2026-08-14 cross-rate),Employee-reported salary database,"Linked Glassdoor market page; figure is employee-reported/aggregated, not employer-published.",https://www.glassdoor.co.in/Salaries/data-quality-lead-salary-SRCH_KO0%2C17.htm,C,Employee-reported salary database,
E40,Lead / supervisor / workforce operations,Data Annotation Supervisor,United States,Global role-family comparator,Salary aggregation,Supervisor,Base salary range,year,96619380,140171298,183723215,8051615,11680941,15310268,Medium,2026-04-30,"ZipRecruiter reports most workers between $66K and $125.5K/year; average $97,145/year",https://www.ziprecruiter.com/Jobs/Data-Annotation-Supervisor,"Secondary salary aggregation. Use for role-family context only; no employer, location-specific, or Rwanda equivalence is claimed.",USD -> RWF @ 1463.9300 (USD/RWF @ 1463.93; 2026-08-06 reference rate),Salary aggregation,"Linked ZipRecruiter title page; figure is an aggregation, not an employer-published salary.",https://www.ziprecruiter.com/Jobs/Data-Annotation-Supervisor,D,Salary aggregation,
E41,Data quality / QA,Data Quality Lead,United States,Global role-family comparator,Salary survey estimate,Lead,Base salary range,year,163212092,176547762,189883432,13601008,14712314,15823619,Medium,2026-07-01,"Salary.com majority range; average shown as $122,002/year",https://www.salary.com/research/salary/listing/data-quality-lead-salary,"Salary survey estimate, not an employer-posted range. Included as a separate observation rather than pooled with employer postings.",USD -> RWF @ 1463.9300 (USD/RWF @ 1463.93; 2026-08-06 reference rate),Salary survey estimate,Linked Salary.com estimate; survey/model output rather than a specific employer offer.,https://www.salary.com/research/salary/listing/data-quality-lead-salary,D,Salary survey estimate,
E44,Data labeling specialist / senior IC,Data Annotator - AI model training,Kenya,East Africa comparator,Published job-board range,Specialist / IC,Base salary range,year,80516150,109794750,139073350,6709679,9149562,11589446,Medium,2026-05,"Role labels text, image, audio, and video data; evaluates model outputs and maintains inter-annotator agreement; listing no longer accepting applications",https://ke.linkedin.com/jobs/view/data-annotator-remote-at-ai-jobs-4409167795,Expired/closed listing. Its stated USD-equivalent range is retained as historical East African evidence and not treated as current Rwanda pay.,USD -> RWF @ 1463.9300 (USD/RWF @ 1463.93; 2026-08-06 reference rate),Historical employer/job-board posting,Linked LinkedIn posting states a published range; listing is historical/closed.,https://ke.linkedin.com/jobs/view/data-annotator-remote-at-ai-jobs-4409167795,D,Historical employer/job-board posting,
E45,Lead / supervisor / workforce operations,Data Annotation Lead,"San Francisco, USA",Global robotics comparator,Secondary listing with stated salary range,Lead,Base salary range,year,175671600,204950200,234228800,14639300,17079183,19519067,Medium,2026-08 access,"Owns annotation operations, workforce scale, training pipeline, quality system, metrics, throughput, cost, and delivery",https://www.theladders.com/job/data-annotation-lead-physical-intelligence-san-francisco-ca_87539700?source=company,The role page is a third-party listing; use alongside the public role description at Index Ventures. Scope is unusually close to scaled annotation operations leadership.,USD -> RWF @ 1463.9300 (USD/RWF @ 1463.93; 2026-08-06 reference rate),Secondary listing with stated range,Third-party listing states a range; it is not the employer's primary careers page.,https://www.theladders.com/job/data-annotation-lead-physical-intelligence-san-francisco-ca_87539700?source=company,D,Secondary listing with stated range,
E46,Technical data operations / engineering,Technical Operation Division Manager,Rwanda public sector,Official public-sector pay structure,Official Gazette salary structure,Manager,Salary range,month,1085308,1085308,1085308,1085308,1085308,1085308,Medium,2020-08-20,NIDA salary structure; direct official figure for a technical operations division manager,https://www.nida.gov.rw/fileadmin/user_upload/NIDA/Publications/B_OG_Special_STRUCTURES_2_2___1_.pdf,"Official historical public-sector salary structure. It is a published RWF gross monthly figure, not a current private-sector market median.",RWF native,Official public-sector gazette,Verified: official NIDA structure publishes the gross monthly figure for the role.,https://www.nida.gov.rw/fileadmin/user_upload/NIDA/Publications/B_OG_Special_STRUCTURES_2_2___1_.pdf,A,Official public-sector gazette,
E47,Technical data operations / engineering,Senior ID System Administrator / System Integration Specialist,Rwanda public sector,Official public-sector pay structure,Official Gazette salary structure,Senior specialist,Salary range,month,786131,786131,786131,786131,786131,786131,Medium,2020-08-20,"NIDA salary structure; senior identity-system, database/application, network, security, and integration roles",https://www.nida.gov.rw/fileadmin/user_upload/NIDA/Publications/B_OG_Special_STRUCTURES_2_2___1_.pdf,Official historical public-sector salary structure. The source is a direct RWF gross monthly figure.,RWF native,Official public-sector gazette,Verified: official NIDA structure publishes the gross monthly figure for the role.,https://www.nida.gov.rw/fileadmin/user_upload/NIDA/Publications/B_OG_Special_STRUCTURES_2_2___1_.pdf,A,Official public-sector gazette,
E48,Data quality / QA,Data Verification / Quality Assurance Officer,Rwanda public sector,Official public-sector pay structure,Official Gazette salary structure,Officer,Salary range,month,540657,540657,540657,540657,540657,540657,Medium,2020-08-20,"NIDA salary structure; verification, QA, data-analysis, and systems-support officer roles",https://www.nida.gov.rw/fileadmin/user_upload/NIDA/Publications/B_OG_Special_STRUCTURES_2_2___1_.pdf,Official historical public-sector salary structure. The source is a direct RWF gross monthly figure.,RWF native,Official public-sector gazette,Verified: official NIDA structure publishes the gross monthly figure for the role.,https://www.nida.gov.rw/fileadmin/user_upload/NIDA/Publications/B_OG_Special_STRUCTURES_2_2___1_.pdf,A,Official public-sector gazette,
E49,Data quality / QA,"Data Observations, Quality Control and Processing Division Manager",Rwanda public sector,Official public-sector pay structure,Official Gazette salary structure,Manager,Salary range,month,1085308,1085308,1085308,1085308,1085308,1085308,Medium,2020-08-20,"Rwanda Meteorology Agency salary structure; named data, quality-control, and processing division",https://meteorwanda.gov.rw/fileadmin/user_upload/Prime_Minister_s_Order_determining_organisational_structure__salaries_and_fringe_benefits_for_employees_of_Rwanda_Meteorology_Agency.pdf,"Directly named data-quality and processing management role in an official RWF gross monthly structure; historical, not a current private-sector band.",RWF native,Official public-sector gazette,Verified: official Meteo Rwanda structure publishes the gross monthly figure for the role.,https://meteorwanda.gov.rw/fileadmin/user_upload/Prime_Minister_s_Order_determining_organisational_structure__salaries_and_fringe_benefits_for_employees_of_Rwanda_Meteorology_Agency.pdf,A,Official public-sector gazette,
E50,Data quality / QA,Data Quality Control Specialist / Big Data Specialist,Rwanda public sector,Official public-sector pay structure,Official Gazette salary structure,Senior specialist,Salary range,month,786131,786131,786131,786131,786131,786131,Medium,2020-08-20,Rwanda Meteorology Agency salary structure; direct data-quality and big-data role names,https://meteorwanda.gov.rw/fileadmin/user_upload/Prime_Minister_s_Order_determining_organisational_structure__salaries_and_fringe_benefits_for_employees_of_Rwanda_Meteorology_Agency.pdf,Direct RWF gross monthly figure in an official historical salary structure.,RWF native,Official public-sector gazette,Verified: official Meteo Rwanda structure publishes the gross monthly figure for the role.,https://meteorwanda.gov.rw/fileadmin/user_upload/Prime_Minister_s_Order_determining_organisational_structure__salaries_and_fringe_benefits_for_employees_of_Rwanda_Meteorology_Agency.pdf,A,Official public-sector gazette,
E51,Technical data operations / engineering,Data Management Specialist,Rwanda public sector,Official public-sector pay structure,Official Gazette salary structure,Specialist,Salary range,month,786131,786131,786131,786131,786131,786131,Medium,2018-09-26,Rwanda Agriculture Board administrative staffing salary structure,https://www.minijust.gov.rw/fileadmin/user_upload/Minijust/Official_gazettes_2/____________2018_Official_Gazettes/Special_of_26.09.2018.pdf,Official historical public-sector salary structure; included because the role name is directly comparable to data-operations responsibilities.,RWF native,Official public-sector gazette,Verified: official gazette publishes the gross monthly figure for the role.,https://www.minijust.gov.rw/fileadmin/user_upload/Minijust/Official_gazettes_2/____________2018_Official_Gazettes/Special_of_26.09.2018.pdf,A,Official public-sector gazette,
E52,Technical data operations / engineering,Senior Engineer / Database and Application Specialist,Rwanda public sector,Official public-sector pay structure,Official Gazette salary structure,Senior specialist,Salary range,month,982663,982663,982663,982663,982663,982663,Medium,2018-08-07,"Rwanda Transport Development Agency salary structure; senior engineering, database/application, modeling, and transport-systems roles",https://www.minijust.gov.rw/fileadmin/user_upload/Minijust/Official_gazettes_2/____________2018_Official_Gazettes/OG_N0_Special_of_07-08-2018_Final1__1_.pdf,Official historical public-sector salary structure; direct RWF gross monthly figure.,RWF native,Official public-sector gazette,Verified: official gazette publishes the gross monthly figure for the role.,https://www.minijust.gov.rw/fileadmin/user_upload/Minijust/Official_gazettes_2/____________2018_Official_Gazettes/OG_N0_Special_of_07-08-2018_Final1__1_.pdf,A,Official public-sector gazette,
